Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
TESLA Model 3 Long Range Performance,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L23,midsize car,10,120,112,116,10,Elite
TESLA Model 3 Mid Range,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L13,midsize car,10,128,117,123,10,Elite
TESLA Model 3 Mid Range,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L13,midsize car,10,128,117,123,10,Elite
TESLA Model 3 Standard Range,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L13,midsize car,10,138,124,131,10,Elite
TESLA Model 3 Standard Range,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L13,midsize car,10,138,124,131,10,Elite
TESLA Model 3 Standard Range Plus,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L13,midsize car,10,140,124,133,10,Elite
TESLA Model 3 Standard Range Plus,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L13,midsize car,10,140,124,133,10,Elite
TESLA Model 4 Long Range,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L13,midsize car,10,136,123,130,10,Elite
TESLA Model 4 Long Range,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L13,midsize car,10,136,123,130,10,Elite
TESLA Model S 100D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2S,large car,10,101,102,102,10,Elite
TESLA Model S 100D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2S,large car,10,101,102,102,10,Elite
TESLA Model S 75D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2S,large car,10,102,105,103,10,Elite
TESLA Model S 75D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2S,large car,10,102,105,103,10,Elite
TESLA Model S Long Range,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2S,large car,10,115,107,111,10,Elite
TESLA Model S Long Range,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2S,large car,10,115,107,111,10,Elite
"TESLA Model S Performance (19"")",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2S,large car,10,104,104,104,10,Elite
"TESLA Model S Performance (19"")",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2S,large car,10,104,104,104,10,Elite
"TESLA Model S Performance (21"")",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2S,large car,10,98,96,97,10,Elite
"TESLA Model S Performance (21"")",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2S,large car,10,98,96,97,10,Elite
TESLA Model S Standard Range,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2S,large car,10,113,105,109,10,Elite
TESLA Model S Standard Range,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2S,large car,10,113,105,109,10,Elite
TESLA Model X 100D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2X,standard SUV,10,86,89,87,10,Elite
TESLA Model X 100D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2X,standard SUV,10,86,89,87,10,Elite
TESLA Model X 75D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2X,standard SUV,10,91,95,93,10,Elite
TESLA Model X 75D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2X,standard SUV,10,91,95,93,10,Elite
TESLA Model X Long Range,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2X,standard SUV,10,99,93,96,10,Elite
TESLA Model X Long Range,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2X,standard SUV,10,99,93,96,10,Elite
TESLA Model X P100D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2X,standard SUV,10,83,89,85,10,Elite
TESLA Model X P100D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2X,standard SUV,10,83,89,85,10,Elite
